Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Classen J.J., Deviney A.V.","Systems Thinking Tools in a Graduate Biological Engineering Class - A Work in Progress",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124537632&partnerID=40&md5=a1f92a3f45a994f7fbfb4f5f25013a1a","When technological challenges involve complex systems that include interactions with other components or agents, the system can exhibit unexpected and counterintuitive behavior. Systems thinking is useful in such cases but is rarely taught in engineering courses that do not explicitly include 'systems' or 'systems dynamics' in the syllabus. This work-in-progress describes an application of systems thinking concepts in an undergraduate and a graduate course in Agricultural Waste Management at North Carolina State University. Two specific systems thinking tools were introduced to help students appreciate the technical, economic, and social challenges related to implementing new animal manure management technologies in a production environment that already includes an established regulatory framework. The first tool was the concept map. The goal of the project was to explore the complex interactions of various stakeholders and agents of food animal production. Students in the undergraduate class were asked to create a concept map, in the form of a diagram, of the North Carolina swine industry with a focus on manure management and environmental impacts and protections. Each of the six students in the graduate class additionally created their map from the perspective of a different stakeholder group. Students also reviewed and provided feedback on the draft map from a second stakeholder perspective. Each student wrote a description of the system and map from their assigned stakeholder perspective. The second tool was the analysis canvas. The goal of the project was to identify system components that contribute to sustainable swine manure management in North Carolina and the changes in position, rules, regulations, and relationships among those components needed to facilitate sustainability. Two teams were formed in each class. In the graduate class the teams were formed so that all stakeholder perspectives from the first project were represented by students who had taken that perspective either as a primary or secondary role. Each team investigated a novel swine manure management technology that had previously been studied under the Smithfield Agreement yet had not been widely adopted at the time. Using the Product Archaeology Canvas, each team was tasked with describing what changes were needed to facilitate adoption of an advanced manure management system and the expected improvements in sustainability of the North Carolina swine industry. The teams also identified the critical issues for the stakeholders and the important compromises they would be asked to make for the system to work as described. © American Society for Engineering Education, 2021",,"Animals; Engineering education; Fertilizers; Human resource management; Manures; Sustainable development; Systems thinking; Waste management; Biological engineering; Class A; Concept maps; Engineering class; Management technologies; Manure management; North Carolina; Swine manure management; System thinkings; Technological challenges; Students",Conference Paper,"",Scopus
"Moore J.D., Cotterman T., Wynn J.","Improving Climate Change Educational Outcomes for First-year Students Through Multidisciplinary Instruction",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124554745&partnerID=40&md5=35b84afbf3ade4d27902c22e9112e6ff","Students enrolling in undergraduate academic programs today are facing a world in which climate change impacts are increasingly visible and severe. As future leaders charged with developing and implementing solutions, it is critical that they be prepared to understand the complexity of the problem. Our Grand Challenges Freshman Seminar course uses a multidisciplinary approach to engage first-year engineering and humanities students in multidimensional critical thinking about climate change. Our teaching team consists of faculty members with expertise in environmental engineering, rhetoric, and policy. Our classes begin with student-led discussions of course readings and culminate in lectures with active-learning exercises. Our assignments are designed to encourage students to reflect on their individual impact on the environment, develop their capacity to read scientific papers, and understand the complexity and challenges of international climate negotiations. We believed these strategies would help students master technical content, see connections among the multiple disciplines related to climate change, and develop critical thinking, argumentation, and communication skills. To assess the efficacy of our strategies, we surveyed students at the end of the course using both quantitative and qualitative instruments. In these surveys students reported a statistically significant increase in their understanding of the interdisciplinary character of climate change. Further, the course received high satisfaction ratings and many students noted their intention to major in climate-relevant disciplines (e.g., environmental engineering, economics).. By sharing our pedagogical strategies and results in this paper, we hope to encourage colleagues to consider adopting this instructional framework as a strategy for inspiring students to become well-informed future leaders on this most pressing issue. © American Society for Engineering Education, 2021",,"Climate change; Curricula; Engineering education; Surveys; Teaching; Academic program; Climate change impact; Critical thinking; Faculty members; First year students; First-year engineering; Freshman seminar; Grand Challenge; Multi-disciplinary approach; Teaching teams; Students",Conference Paper,"",Scopus
"Daza L.G., Cavallin H.E., del Puerto C.L.","Developing Case Studies for a Repository for Resilient Infrastructure and Sustainability Education following a Natural Disaster",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124529379&partnerID=40&md5=7db4444e4a4f63fb260c4b3d5a8d1502","To preserve the stories of resiliency and document the infrastructure damages caused by Hurricanes Irma and María and the 2020 earthquakes in Puerto Rico, the timely collection of evidence is essential. To address this need, case studies of damages caused by the natural disasters and a repository of information aimed to keep record and centralize information regarding relevant cases that provide examples of evidence of infrastructure damages and processes worth preserving is needed. To develop said case studies and a repository, a two-prong approach was used in this study. First, the case study methodology was followed. According to Yin, a case study is “an intense study of a single unit with the purpose of a larger class of (similar) units”. Case studies are used in academia for both research and teaching purposes. Our research team advocates for the use of case studies as tools to inform both learning and decision-making. Secondly, the repository model was developed. This paper presents the results of the development of the repository and includes sample case studies. The repository allows students, academics, researchers, and other stakeholders to understand the impact of extreme environmental conditions on the built environment. Faculty can use the repository in their courses to teach Architecture, Engineering and Construction students topics related to resiliency and sustainability in the build environment. Each case study developed and deposited in the repository, answers to research questions regarding what, how and when the damages happened, who were the stakeholders involved in the processes, what were their actions, and what are the lessons learned. The case studies have the potential of becoming responses to hypotheses for those mining the repository. The paper contributes to the body of knowledge by presenting the results of the development of case studies and a database that can be used for both research and teaching purposes. These can be replicated in the US and other countries, in need of recording and systematizing information after natural events. © American Society for Engineering Education, 2021",,"Decision making; Disasters; Education computing; Engineering education; Students; Sustainable development; Built environment; Case study methodologies; Case-studies; Decisions makings; Environmental conditions; Infrastructure education; Natural disasters; Puerto Rico; Research teams; Sustainability education; Teaching",Conference Paper,"",Scopus
"Barker S.","The Use of Virtual Design Modules in an Introduction to Engineering Course: Impact on Learning Outcomes and Engineering Identity",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124542272&partnerID=40&md5=36241590333c2ad68850700d9b4f885c","The Introduction to Engineering course is taken by all first-year students in the Engineering school of an R1 university. The learning objectives of the course are 1) to introduce students to the engineering design process; 2) to practice applying the design process to solve problems in collaborative teams; 3) to learn the importance of effective communications; and 4) to feel confident in their capacity to be an engineer and identify as belonging to the engineering community. Typically, these learning objectives are assessed through a series of in-person design team projects in the classroom studio, whereby the instructor and teaching assistants work closely with students. In the Fall of 2020, however, the course will be conducted virtually. We discuss the design and implementation of a series of virtual design modules aimed at maintaining the course learning objectives while providing an inclusive and supportive learning environment. The design modules allow student teams to work remotely without the need for on-campus space or face-to-face time with the teaching team. Weekly virtual support was implemented through check-in hours held by each member of the teaching team, synchronous class discussions, educational videos available through VoiceThread, and the use of discussion boards and chat features. We also offered several ways to build community within the course, which was especially critical given the predominately online nature of this semester and the fact that the students were brand new to the University. Within each design module, students were given numerous opportunities to receive feedback on their work via homework assignments. The series of design modules included the following projects in the following order: 1. Design a ping pong ball launcher using household materials: As the first assignment of the semester, this project was designed to be fun, low-stakes, and easy to accomplish no matter where the students were learning. Teams made short videos describing their design and capturing five consecutive launches, including distance measurements. Videos were uploaded to VoiceThread so students could watch and learn from each other's designs. Teams worked in two phases: an initial design and a re-design, in order to reflect the iterative nature of engineering. 2. Propose ten redesign ideas of a simple device: This project offered teams the opportunity to practice the ideation process and to demonstrate the fact that multiple solutions can exist for open-ended problems. 3. Design a pandemic tool: Now that students felt comfortable working remotely and have gotten to know their teammates, the projects become progressively more complicated. In this project, teams practice problem definition and customer discovery, as well as technical drawing. The final deliverable was a 2-page technical report describing the problem, the customer profile, the rationale and details of the solution, and a summary of the potential impact and significance. 4. Pandemic-driven sustainability infographic and informational video: Here, students choose a sustainability topic of interest and explore how the pandemic has affected it, either positively or negatively. The students continue learning about problem definition and customer discovery, but also about new forms of communications, and the intersection of engineering/science and the general public. 5. Mathematical modeling of herd immunity: Here, teams learn the fundamentals of herd immunity and the role of vaccination, and how to create mathematical models to predict outbreaks. The final deliverable here is an OpEd piece in a fictional national newspaper sharing the team's findings and recommendations as a public health service. Again, the team will continue learning about problem definition and problem-solving, but with a focus on the use of computational and data science methodologies. Teams also continue to explore effective communications and the its employment for the public good. To assess the overall effectiveness of this approach on achieving the learning outcomes, a survey was administered at the beginning and end of the semester, focused on the students' self-perception on their comfort with fundamental engineering concepts and on their identification as an engineer and sense of belonging. The results of these surveys will be compared to assess any changes in these perceptions over the semester. Additionally, these results will be compared with course evaluations and general performance over time on the series of design modules. © American Society for Engineering Education, 2021",,"Computer aided instruction; Curricula; Design; E-learning; Engineering education; Teaching; Design module; Effective communication; Herd immunities; Introduction to engineering course; Learn+; Learning objectives; Learning outcome; Problem definition; Teaching teams; Virtual design; Students",Conference Paper,"",Scopus
"Elzomor M., Ferrer V., Pradhananga P., Rahat R.","Assessing the Pedagogical Needs to Couple Front-end Planning Tools with Sustainable Infrastructure Projects",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124562049&partnerID=40&md5=aa41628341a219305c0c199b8685ee49","Front-End Planning (FEP) for Sustainable Infrastructure (SI) projects is a promising process that can support addressing multiple challenges in infrastructure projects (i.e. cost overruns, schedule delays, and poor sustainability). Nonetheless, commonly adopted construction and civil engineering (CCE) pedagogy centers on traditional planning and vertical construction sustainability, neglecting the significance of FEP and SI. Nowadays most construction projects are required to meet sustainability goals, a trend that will continue to expand to all types of projects, whether they are vertical or horizontal, new construction, maintenance, or renovations. Therefore, it is critical to teach and encourage the future CCE workforce about the importance and application of FEP and SI tools, not only in residential or commercial construction, but also for infrastructure projects. The objective of this research paper is threefold: (1) to examine the efficacy of the applied PBL activity in terms of improving students' knowledge and ability to work with FEP and SI tools, (2) to assess the student's perspective on the convenience of coupling FEP and SI, and (3) to determine the student's level of interest towards FEP and SI within construction management (CM) curricula. To achieve these objectives, this research applied a Problem Based Learning (PBL) activity and assessed 45 undergraduate and graduate CM students at a Hispanic Serving Institution. The PBL activity enhanced students' knowledge on FEP for SI projects and could potentially provide an edge in their professional careers. The findings of the paper contribute to the engineering and construction education bodies of knowledge by paving the way for the future workforce to realize the criticality of constructing sustainable infrastructure projects and the importance of the FEP process in such complex projects. © American Society for Engineering Education, 2021","Front-end planning; Infrastructure education; Infrastructure management; Sustainability; Sustainable infrastructure","Employment; Engineering education; Project management; Students; Construction management; Front-end planning; Infrastructure education; Infrastructure managements; Infrastructure project; Infrastructure tools; Learning Activity; Problem based learning; Student knowledge; Sustainable infrastructure; Sustainable development",Conference Paper,"",Scopus
"Larson J., Barnard W.M., Carberry A.R., Karwat D.","Student Recognition, Use, and Understanding of Engineering for One Planet Competencies and Outcomes in Project-based Learning",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124555235&partnerID=40&md5=dd3c4410d2064fd7b77540ff8c02865c","Addressing local-to-global crises at the intersection of environmental protection, climate change, sustainability, and social justice will require new skills and competencies in practicing engineers as well as the ability to learn from and work with non-engineers in society. Project-based learning (PjBL) provides one approach by which students can learn how to creatively tackle important open-ended problems in the world. We examine the impact of a second-year PjBL course within The Polytechnic School's (TPS) Engineering program at Arizona State University's on students' understanding of environmentally and socially responsible engineering. We used a survey approach to collect fixed and open-ended responses from 122 students. Collected data was analyzed through the lens of a newly developed framework called Engineering for One Planet (EOP). Our analyses show that the PjBL course had a moderate to large impact on student competencies that comprise the EOP framework. We believe the EOP framework can be considered as a guiding framework in designing courses and curriculum to better prepare students for future engineering work. © American Society for Engineering Education, 2021",,"Climate change; Engineering education; Sustainable development; Engineering program; Learn+; Learning course; Non-engineers; Open-ended problems; Polytechnic Schools; Practicing engineers; Project based learning; Social justice; Student recognition; Students",Conference Paper,"",Scopus
"Tisdale J.K., Bielefeldt A.R.","Sustainability Incorporation in Courses in Mechanical, Civil and Environmental Engineering: Insights from AASHE STARS Data",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124559317&partnerID=40&md5=6bd9b68aee3546f56bd3e4179f14c055","Sustainability incorporation into engineering education is gaining in recognition and importance. Sustainability courses provide valuable connections in the notions of sustainability and they build knowledge about sustainability. Integrating sustainability concepts throughout the curriculum gives the students a broad understanding of the field and prepares students to apply sustainability principles in their engineering decisions. This work seeks to answer the question: 'To what extent is sustainability integration occurring in education in civil/environmental engineering and in mechanical engineering?' The Sustainability Tracking And Reporting System (STARS) by the Association for the Advancement of Sustainability in Higher Education (AASHE) provides a source of data to probe this question. Institutions report information about sustainability incorporation into their courses to the AASHE STARS system, which provides useful knowledge of existing courses and methods of sustainability integration in the curricula. Data representing 30 universities was included in this study and shows there is approximately 4.25 times the number of courses with sustainability incorporation in civil and environmental engineering compared to mechanical engineering. An overlay of the data and course structure between the two departments yields interesting observations and areas for potential leveraging of advancements within the two disciplines. © American Society for Engineering Education, 2021",,"Curricula; Engineering education; Stars; Students; Course structure; Engineering decisions; High educations; Reporting systems; Sustainability principles; Tracking system; Sustainable development",Conference Paper,"",Scopus
"Rossmann J.S., Sanford K.L., Cohen B.","”Asking'why' instead of'how'”: Outcomes of an interdisciplinary Degree Program in Engineering Studies",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124571060&partnerID=40&md5=d4610a68ba4d745469fcf9dfc08020d1","The Engineering Studies Program at Lafayette College has graduated more than 900 majors over its 50-year history. These graduates have gone on to careers in a wide range of roles in a variety of industries. While the major requirements have evolved over time, the core principles of the program - articulated in the program's founding documents as “Society needs more liberally-educated persons with technical backgrounds” - have not. Thus, as the program celebrates its 50 years of educating sociotechnical citizens, and as society grapples with all-consuming sociotechnical problems - climate change, systemic racism, and pandemic spread and disruption - we are endeavoring to understand how our alumni see themselves and how their sociotechnical education has contributed to their identities and paths. In previous work, the authors have documented the history of the program, its current status, its core curriculum, and the impacts on students in terms of sociotechnical thinking and diversity. It is clear from this work that students approaching graduation do view themselves as sociotechnical thinkers. This analysis also shows that graduates are more diverse in terms of gender than those in other engineering programs on our campus, and more racially/ethnically diverse than both students in other engineering programs and students as a whole at our institution. This paper considers more deeply why the program is successful in developing sociotechnical thinking and in attracting such a diverse group of students to the major and classes. We are investigating alumni perspectives on their experiences in the program as undergraduates and how those experiences have shaped their thinking about themselves, their citizenship, and their careers. The paper summarizes and synthesizes the results of alumni surveys to provide insights. These insights provide faculty at our own and other institutions with lessons that will be useful in considering how to better educate students to be socio-technical thinkers while broadening participation in engineering. © American Society for Engineering Education, 2021",,"Climate change; Engineering education; Alumni survey; Broadening participation; Core curriculums; Current status; Degree program; Engineering program; Engineering study programs; Lafayette College; Sociotechnical; Technical background; Students",Conference Paper,"",Scopus
"Li J.","Incorporation of Sustainability Education into the Ammonia Synthesis Process Design of the Chemical Engineering Senior Design Course",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124511763&partnerID=40&md5=1fc15fa720e436eb5dfd1fcc2e137d56","Sustainability has become a key subject in chemical engineering (ChE) practice, largely due to the challenges such as natural resource depletion, greenhouse gas emission, economic globalization, increasingly stringent environmental regulation, etc. To incorporate the concept into ChE education, the ABET, Inc. has listed sustainability as a crucial element in engineering curricula and stated that “Design of environmental engineering systems that includes considerations of risk, uncertainty, sustainability, life-cycle principles, and environmental impacts.” [1]. The senior capstone process design course is a key educational component to fulfill the goal, as it could integrate sustainable subjects into the ChE undergraduate curriculum such as sustainable resources, biomass, energy efficiency, design standards and regulations, process safety, etc. © American Society for Engineering Education, 2021",,"Curricula; Ecodesign; Energy efficiency; Engineering education; Environmental impact; Environmental regulations; Greenhouse gases; Life cycle; Process design; Ammonia synthesis; Design course; Economic globalization; Engineering practices; Greenhouse gas emissions; Resource depletion; Senior design; Stringents; Sustainability education; Synthesis process; Sustainable development",Conference Paper,"",Scopus
"Prabhu R., Starkey E.M., Alzayed M.A.","Student Reflections on Sustainability and Empathy: The Outcomes of a Sustainability Workshop in First-year Design Courses",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124513951&partnerID=40&md5=e928bf7755a21c625318c4afddfcc3e2","Given the growing need for sustainability in engineering, there has been an increased emphasis on introducing sustainability in the engineering design curriculum. Towards this end, several researchers and educators have proposed educational initiatives for integrating sustainable design in the engineering design curriculum, as early as in the first year of study. However, these initiatives are only as successful as students'ability to relate to the issues related to unsustainable behavior and take active measures towards these issues. Prior research has suggested the influence of empathy on designers'ability to relate to the users'needs. In the context of sustainable design, students must not only relate to the needs of the primary user but also empathize with those indirectly affected by their decisions. However, little research has explored the influence of students'trait empathy on the outcomes of sustainable design education and we aim to explore this research gap. Specifically, we introduced first-year engineering students to a two-day workshop on sustainable design approximately three-quarters of the way through their semester-long design project. At the end of the semester, students were asked to reflect on the utility of the workshop towards both, empathizing with the user, and designing sustainable solutions, in their semester-long projects. From our results, we see an increase in students'attitudes and intentions towards sustainability from before the workshop to the end of the semester. On the other hand, we see no differences in students'trait empathy. A qualitative analysis of students'reflections showed that students had a positive experience with the sustainability workshop and that they were more inclined to incorporate sustainable design practices into their project after participating in the workshop. These findings suggest the need for future work on the role of empathy development in encouraging a sustainable design mindset among engineering designers. © American Society for Engineering Education, 2021",,"Curricula; Ecodesign; Engineering education; Sustainable development; Design course; Design curricula; Engineering design; First year; First year design; First-year engineering; Primary Users; Research gaps; Sustainable design educations; User need; Students",Conference Paper,"",Scopus
"Riley D.M., Clawson R.A., Maksimovic D., Myers B.A., Santiago I., Stites N.A., Taylor J.L.","Developing Engineering Formation Systems for Sustainability",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124573086&partnerID=40&md5=227308beed48f9fd3c79be623b6580f8","Engineering challenges are increasingly complex, mired in characteristics Horn and Weber have described as the “social mess” - little agreement on problem definition, multiple interconnected problems, consequences difficult to imagine, let alone characterize, and riddled with ideological, political, and cultural conflict. Climate change looms large as an example of a social mess that engineers will need new capacities to effectively confront. The capacities engineers need include many attributes long discussed within the Liberal Education/Engineering and Society Division of ASEE and echoed in the NAE Engineer of 2020 report at the turn of this century: creativity, leadership, communication, lifelong learning, ethics, resiliency, and flexibility. There is increasing recognition that we additionally need to grow our capacity for holistic systems (or systems-of-systems) thinking, data-informed decision-making, transdisciplinarity and epistemic humility, critical understandings of power relations in organizations and society, and affective components of ethics, leadership and change agency, community-building, communications, and lifelong learning - all in addition to specific technological breakthroughs and enabling technologies to reconfigure essential sociotechnical systems. As we seek to instill these capacities, we are also confronting an engineering education ecosystem mired with obstacles and inequities. We need to build infrastructure that equitably resources learning, cultivates interest, and ensures flexible access across lines of race, class, gender, ability, and other categories, smoothing transition points from two-year colleges, military service, work in the trades, and life events that too often prevent individuals from pursuing engineering. In the specific context of a project focused on preparing an engineering workforce that can realize vehicle and roadway electrification and grid decarbonization for a sustainable transportation infrastructure, we developed a strategic agenda for instilling cross-disciplinary capacities and creating a smooth interconnected system of pathways through engineering. This paper discusses the structural changes needed in our educational infrastructure and the curricular and pedagogical changes required for engineering formation to address sustainability challenges in the future. We identify areas for growth and a set of strategic actions in pre-college, undergraduate, graduate, and professional education to realize our vision for educating holistic and diverse engineers who are prepared to confront sustainability challenges. © American Society for Engineering Education, 2021",,"Climate change; Decision making; Engineers; Philosophical aspects; Sustainable development; Systems thinking; Decisions makings; Engineer of 2020; Engineering challenges; Formation systems; Informed decision; Liberal education; Life long learning; Power relations; Problem definition; Transdisciplinarity; Engineering education",Conference Paper,"",Scopus
"LaChance A.M., Pascal J., Gan D., Welsh J.J.P., Pauly T.J., Paul P.","Teaching Environmental Justice Principles to Chemical Engineering Seniors: An Antiracist, Collaborative Approach",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124536457&partnerID=40&md5=efe30079ba6cfa260ae8bdfb2b226ee1","The aim of this project is to engage students with course material related to environmental justice principles using anti-racist pedagogy. In a senior-level Unit Operations and Process Simulation course for chemical engineers, students are asked to take a holistic approach to chemical plant design. However, previous iterations of this course did not ask students to consider the implications of building them: Who is making the decision to build these plants, and why are they doing so? Where are these chemical plants being built? Are they safe for the workers and the surrounding neighborhoods? Who gets to design these plants, and who will be maintaining these plants? If there's a difference between those groups, why? To this end, we incorporated a one-week course module on environmental justice as it pertains to chemical engineering. In an effort to emulate anti-racist, feminist modes of instruction, we called upon a few of the students to form a “cogen” (co-generative dialogue) to assist us in developing and delivering the course materials for this week of class. Over the course of the semester, four students self-selected to be a part of this cogen, meeting with the instructor once per week to co-develop learning objectives, instructional strategies, forms of assessment, and course materials for this module. In doing so, we centered the narratives of the students who have been directly impacted by climate injustice and environmental racism, as well as students who have been involved in climate activism in their non-academic lives, in the delivery of the course materials. Collaboratively, the 4-student, 1-instructor cogen team co-developed course content relating to the role of chemical engineers in advancing awareness of environmental injustice and its local, national, and global impacts on public health, economic security, racist violence, mental health, and more. By starting an in-class dialogue about the responsibilities of the members of our discipline, we hope to engage students in broader issues such as diversity, equity, and inclusion of Black, Indigenous, and People of Color (BIPOC) individuals within STEM fields as well as the disparities in access to housing, healthcare, and education among marginalized communities across this country. © American Society for Engineering Education, 2021",,"Chemical plants; Curricula; Engineering education; Engineers; Collaborative approach; Course material; Environmental justice; Holistic approach; Operations simulation; Plant designs; Process simulations; Simulation course; Surrounding neighborhood; Workers'; Students",Conference Paper,"",Scopus
"Tseng T.-L.B., Rahman M.F., Chiou R., Ho J.C.","Sustainable Green Design and Life Cycle Assessment for Engineering Education",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124550676&partnerID=40&md5=953c629c3356b66ecb5ded01524dd69c","Green design and product life cycle assessments (LCA) help us to quantify and understand the actual impact on nature, society, and the economy. Recognizing the importance of sustainability analysis, many manufacturing industries are working to build an environment for practicing the concept of green design and LCA in product development and commercialization. To further strengthen the emerging interest, this paper describes the development of class project modules in the Industrial, Manufacturing, and Systems Engineering (IMSE) department at The University of Texas at El Paso. The primary focus of these modules is to introduce the student to the concept of green design and LCA in the evaluation of the environmental impact of the manufacturing process. This enables a high interdisciplinary platform for research and class modules suitable to be used in the academic environment for hands-on student training. The modules are developed by thoroughly analyzing the skillsets required by the industrial needs. The module includes: 1) Introduction and theory of sustainable design; 2) Product design and development using CAD software; 3) sustainability analysis of the 3-D soft product model; 4) introduction and theory of life cycle assessment; and 5) life cycle assessment using GaBi software. SolidWorks sustainability tool and GaBi software are incorporated as the working platform of the aforementioned four modules. The effectiveness of the project modules is investigated by integrating them as special topics in the summer, 2020 course and measuring the student outcome using a rigorous pre- and post-student survey. © American Society for Engineering Education, 2021","GaBi; Life cycle assessment; SolidWorks sustainability tool; Sustainability analysis","Binary alloys; Bismuth alloys; Computer aided design; Ecodesign; Education computing; Engineering education; Environmental impact; Life cycle; Manufacture; Product design; Students; Class projects; Commercialisation; Design life; Gabi softwares; Industrial manufacturing; Manufacturing industries; Product life cycles; Solidwork sustainability tool; SolidWorks; Sustainability analysis; Sustainable development",Conference Paper,"",Scopus
"Forbes M.H., Dalrymple O.O., Lord S.M., Baillie C., Hoople G.D., Mejia J.A.","The Engineering Exchange for Social Justice (ExSJ): Advancing Justice through Sociotechnical Engineering and Equitable Partnership Exchanges",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124523052&partnerID=40&md5=e567040a93e71a42382a1c84ab765840","The University of San Diego's Engineering Exchange for Social Justice (ExSJ) is a framework for community partnership and co-created, justice-oriented solutions to socio-technical challenges. The core tenets of this framework are community-partnered engineering, and engineering education through equitable and reciprocal exchange (rather than service) and a socio-technical (rather than techno-centric) approach. In this paper, we share: 1) the ExSJ framework, 2) the infrastructure, mechanisms, and activities we are using to apply this framework, and 3) the challenges and complexities we are facing as we apply it. The foundational values of the ExSJ can be applied to all engineering contexts, providing a platform for change that moves away from narrowly constructed and techno-centric epistemological approaches, and an expansion to engage social and environmental justice, humanitarian goals, peace, and sustainability in engineering through equitable partnership exchanges. © American Society for Engineering Education, 2021",,"Mergers and acquisitions; Sustainable development; Community partnerships; Environmental justice; Social and environmental; Social justice; Sociotechnical; Technical challenges; University of San Diego; Engineering education",Conference Paper,"",Scopus
"Lara J.R., Palsole S., Weichold M.H., Linke P.","Work in Progress: Engineering for Sustainable Development: An Undergraduate Course Inspiring New Mentalities in Engineering Students of All Majors",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124553484&partnerID=40&md5=67192897538430f4cd521f4432878480","There is a realization that the world is becoming unsustainable because of the technology developed by engineers. National and international engineering bodies have recognized this problem and have articulated the need for sustainable engineering. This is creating an increasing social demand both nationally and globally to graduate engineers who have been trained to respond to the modern economic and environmental challenges. In a previous work at a large university in the Southwest, the authors developed an instrument to measure sustainable development literacy in incoming freshman engineering students. This work demonstrated a lack of understanding about sustainable engineering among the incoming freshman and led to the development of a module on sustainable engineering. The student engagement and interest in this module was measured, and these results have led to the design of a full semester long course titled Engineering for Sustainable Development for undergraduate students of all majors. The course took a modular approach in its development with each topical module having clearly defined and measurable outcomes with some independence. Responding to those demands for a more sustainable engineering practice, the course involves sustainable circular designs as core promoters of a circular economy. This innovative design thinking will create a new mentality in engineering students. In this paper, the authors present the process followed for the design, implementation and assessment of the course “Engineering for sustainable development” aimed to introduce and integrate sustainability engineering learning early in the engineering curriculum. © American Society for Engineering Education, 2021",,"Curricula; Engineering education; Planning; Students; Economic challenges; Environmental challenges; Freshman engineering students; Graduate engineers; International engineering; Student engagement; Students' interests; Sustainable engineering; Undergraduate Courses; Undergraduate students; Sustainable development",Conference Paper,"",Scopus
"Huerta M.V., Carberry A.R., Pipe T., McKenna A.F.","Inner engineering: Evaluating the utility of mindfulness training to cultivate intrapersonal and interpersonal competencies among first-year engineering students",2021,"Journal of Engineering Education","110","3",,"636","670",,40,"10.1002/jee.20407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111153586&doi=10.1002%2fjee.20407&partnerID=40&md5=acb1abf1d5124191fed0d1b2617c5eb6","Background: There is clear consensus among influential education reports that an expansive range of intrapersonal (e.g., self-regulation) and interpersonal competencies (e.g., empathy) highly influence educational and career success. Research on teaching and learning these competencies is limited in engineering education. Purpose/Hypothesis: This study explores the impacts of a mindfulness training program on first-year engineering students and aims to understand potential impacts on the development of intrapersonal and interpersonal competencies. Design/Method: A four-session mindfulness-based program was designed, developed, and facilitated to cultivate intrapersonal and interpersonal competencies. Qualitative data were collected from a total of 35 students through a post-survey (n = 32), 3-month follow-up survey (n = 24), and interviews (n = 18). A thematic analysis process accompanied by validity and trustworthiness checks was employed to analyze the data. Results: The results suggest that the majority of students became more mindful, which led to improved intrapersonal competencies (e.g., self-regulation, focus, resilience, and well-being) and interpersonal competencies (e.g., empathy, communication, teamwork, and leadership). Discussion/Conclusions: The study provides compelling evidence that mindfulness training can support the development of intrapersonal and interpersonal competencies among engineering students, which can support their overall academic experience, personal, and professional development. Future design and development work will be needed to evaluate the integration and scalability potential of mindfulness training within engineering programs. © 2021 The Authors. Journal of Engineering Education published by Wiley Periodicals LLC on behalf of American Society for Engineering Education.","first-year experience; mindfulness; professional skills; reflective practice; student development","Deregulation; Engineering education; Professional aspects; Surveys; Career success; First-year engineering; First-year experience; Mindfulness; Professional skills; Reflective practise; Self regulation; Student development; Teaching and learning; Training program; Students",Article,"All Open Access, Hybrid Gold",Scopus
